x;result;tay_iterations;tay_time;cfiterations;cf_time
3278.3362;8.0950913;51180;0.000457;290;4e-06
3280.8973;8.0958722;51220;0.000457;290;4e-06
3283.4594;8.0966528;51260;0.000458;290;5e-06
3286.0225;8.0974331;51300;0.000448;290;5e-06
3288.5866;8.0982131;51340;0.000459;290;5e-06
3291.1517;8.0989928;51380;0.000459;290;5e-06
3293.7178;8.0997722;51420;0.000459;290;5e-06
3296.2849;8.1005513;51460;0.000449;290;4e-06
3298.853;8.1013301;51501;0.00046;291;5e-06
3301.4221;8.1021086;51541;0.00046;291;5e-06
3303.9922;8.1028868;51581;0.000461;291;5e-06
3306.5633;8.1036646;51621;0.00046;291;4e-06
3309.1354;8.1044422;51661;0.000461;291;4e-06
3311.7085;8.1052195;51701;0.000461;291;4e-06
3314.2826;8.1059965;51741;0.000469;291;4e-06
3316.8577;8.1067731;51782;0.000462;291;4e-06
3319.4338;8.1075495;51822;0.000462;291;4e-06
3322.0109;8.1083256;51862;0.000463;292;5e-06
3324.589;8.1091013;51902;0.000463;292;5e-06
3327.1681;8.1098768;51943;0.000464;292;4e-06
3329.7482;8.110652;51983;0.000464;292;5e-06
3332.3293;8.1114268;52023;0.000465;292;5e-06
3334.9114;8.1122014;52064;0.000455;292;4e-06
3337.4945;8.1129756;52104;0.000465;292;5e-06
3340.0786;8.1137496;52144;0.000466;292;4e-06
3342.6637;8.1145233;52185;0.000482;292;4e-06
3345.2498;8.1152966;52225;0.000457;293;5e-06
3347.8369;8.1160697;52265;0.000467;293;4e-06
3350.425;8.1168425;52306;0.000467;293;4e-06
3353.0141;8.1176149;52346;0.000485;293;4e-06
3355.6042;8.1183871;52387;0.000457;293;4e-06
3358.1953;8.119159;52427;0.000468;293;4e-06
3360.7874;8.1199306;52468;0.000468;293;4e-06
3363.3805;8.1207018;52508;0.000459;293;4e-06
3365.9746;8.1214728;52549;0.000469;293;5e-06
3368.5697;8.1222435;52589;0.00047;294;4e-06
3371.1658;8.1230139;52630;0.000468;294;4e-06
3373.7629;8.123784;52670;0.00047;294;4e-06
3376.361;8.1245538;52711;0.00047;294;5e-06
3378.9601;8.1253233;52751;0.000471;294;4e-06
3381.5602;8.1260925;52792;0.000471;294;4e-06
3384.1613;8.1268614;52832;0.000472;294;5e-06
3386.7634;8.12763;52873;0.000472;294;4e-06
3389.3665;8.1283983;52914;0.000472;294;4e-06
3391.9706;8.1291663;52955;0.000462;295;4e-06
3394.5757;8.129934;52995;0.000473;295;5e-06
3397.1818;8.1307015;53036;0.000474;295;4e-06
3399.7889;8.1314686;53077;0.00048;295;4e-06
3402.397;8.1322355;53117;0.000474;295;4e-06
3405.0061;8.133002;53158;0.000474;295;5e-06
3407.6162;8.1337683;53199;0.000474;295;5e-06
3410.2273;8.1345342;53240;0.000475;295;5e-06
3412.8394;8.1352999;53280;0.000475;295;5e-06
3415.4525;8.1360653;53321;0.000476;296;5e-06
3418.0666;8.1368303;53362;0.000477;296;5e-06
3420.6817;8.1375951;53403;0.000466;296;5e-06
3423.2978;8.1383596;53444;0.000477;296;4e-06
3425.9149;8.1391238;53485;0.000477;296;5e-06
3428.533;8.1398877;53525;0.000487;296;5e-06
3431.1521;8.1406514;53566;0.000468;296;5e-06
3433.7722;8.1414147;53607;0.000479;296;4e-06
3436.3933;8.1421777;53648;0.000479;297;5e-06
3439.0154;8.1429405;53689;0.000468;297;4e-06
3441.6385;8.1437029;53730;0.00048;297;5e-06
3444.2626;8.1444651;53771;0.00048;297;4e-06
3446.8877;8.145227;53812;0.00048;297;5e-06
3449.5138;8.1459886;53853;0.00047;297;5e-06
3452.1409;8.1467499;53894;0.000482;297;4e-06
3454.769;8.1475109;53935;0.000473;297;5e-06
3457.3981;8.1482716;53976;0.000504;297;5e-06
3460.0282;8.149032;54017;0.000471;298;4e-06
3462.6593;8.1497921;54058;0.000483;298;4e-06
3465.2914;8.150552;54099;0.000473;298;5e-06
3467.9245;8.1513116;54140;0.000473;298;4e-06
3470.5586;8.1520708;54182;0.000484;298;4e-06
3473.1937;8.1528298;54223;0.000484;298;4e-06
3475.8298;8.1535885;54264;0.000509;298;5e-06
3478.4669;8.1543469;54305;0.000475;298;5e-06
3481.105;8.155105;54346;0.000485;298;4e-06
3483.7441;8.1558629;54387;0.000486;299;5e-06
3486.3842;8.1566204;54429;0.000476;299;4e-06
3489.0253;8.1573777;54470;0.000486;299;4e-06
3491.6674;8.1581347;54511;0.000486;299;5e-06
3494.3105;8.1588913;54552;0.000499;299;4e-06
3496.9546;8.1596477;54594;0.000488;299;5e-06
3499.5997;8.1604039;54635;0.000488;299;4e-06
3502.2458;8.1611597;54676;0.000488;299;4e-06
3504.8929;8.1619152;54718;0.000487;299;5e-06
3507.541;8.1626705;54759;0.000489;300;5e-06
3510.1901;8.1634255;54800;0.000489;300;5e-06
3512.8402;8.1641802;54842;0.000488;300;4e-06
3515.4913;8.1649346;54883;0.000479;300;5e-06
3518.1434;8.1656887;54925;0.000479;300;5e-06
3520.7965;8.1664425;54966;0.000491;300;5e-06
3523.4506;8.1671961;55007;0.000481;300;4e-06
3526.1057;8.1679493;55049;0.000491;300;5e-06
3528.7618;8.1687023;55090;0.000492;300;5e-06
